X_Value,Temperature_0,Temperature_1,Temperature_2
16.8,33.162348,30.612025,32.695124
16.9,33.162348,30.612025,32.695124
17,33.162348,30.612025,32.695124
17.1,33.171021,30.6865,32.66042
17.2,33.171021,30.6865,32.66042
17.3,33.171021,30.6865,32.66042
17.4,33.158833,30.785167,32.684572
17.5,33.158833,30.785167,32.684572
17.6,33.158833,30.785167,32.684572
17.7,33.173364,30.863388,32.655026
17.8,33.173364,30.863388,32.655026
17.9,33.173364,30.863388,32.655026
18,33.188364,30.997737,32.629935
18.1,33.188364,30.997737,32.629935
18.2,33.188364,30.997737,32.629935
18.3,33.166802,31.066784,32.644943
18.4,33.166802,31.066784,32.644943
18.5,33.166802,31.066784,32.644943
18.6,33.193521,31.143341,32.650336
18.7,33.193521,31.143341,32.650336
18.8,33.193521,31.143341,32.650336
18.9,33.189068,31.230694,32.68082
19,33.189068,31.230694,32.68082
19.1,33.189068,31.230694,32.68082
19.2,33.205005,31.338466,32.676599
19.3,33.205005,31.338466,32.676599
19.4,33.205005,31.338466,32.676599
19.5,33.27508,31.445288,32.736861
19.6,33.27508,31.445288,32.736861
19.7,33.27508,31.445288,32.736861
19.8,33.276955,31.538484,32.750461
19.9,33.276955,31.538484,32.750461
20,33.276955,31.538484,32.750461
20.1,33.333199,31.664298,32.768984
20.2,33.333199,31.664298,32.768984
20.3,33.333199,31.664298,32.768984
20.4,33.390611,31.789158,32.800402
20.5,33.390611,31.789158,32.800402
20.6,33.390611,31.789158,32.800402
20.7,33.431618,31.885139,32.832992
20.8,33.431618,31.885139,32.832992
20.9,33.431618,31.885139,32.832992
21,33.517845,32.012085,32.868863
21.1,33.517845,32.012085,32.868863
21.2,33.517845,32.012085,32.868863
21.3,33.559082,32.133385,32.928879
21.4,33.559082,32.133385,32.928879
21.5,33.559082,32.133385,32.928879
21.6,33.65467,32.266165,32.988423
21.7,33.65467,32.266165,32.988423
21.8,33.65467,32.266165,32.988423
21.9,33.725886,32.386263,33.037416
22,33.725886,32.386263,33.037416
22.1,33.725886,32.386263,33.037416
22.2,33.807873,32.526282,33.093204
22.3,33.807873,32.526282,33.093204
22.4,33.807873,32.526282,33.093204
22.5,33.880953,32.635329,33.156255
22.6,33.880953,32.635329,33.156255
22.7,33.880953,32.635329,33.156255
22.8,33.972296,32.781411,33.244379
22.9,33.972296,32.781411,33.244379
23,33.972296,32.781411,33.244379
23.1,34.0641,32.904029,33.305077
23.2,34.0641,32.904029,33.305077
23.3,34.0641,32.904029,33.305077
23.4,34.152618,33.037885,33.38241
23.5,34.152618,33.037885,33.38241
23.6,34.152618,33.037885,33.38241
23.7,34.256113,33.192349,33.475436
23.8,34.256113,33.192349,33.475436
23.9,34.256113,33.192349,33.475436
24,34.359832,33.347494,33.582745
24.1,34.359832,33.347494,33.582745
24.2,34.359832,33.347494,33.582745
24.3,34.466585,33.511519,33.676222
24.4,34.466585,33.511519,33.676222
24.5,34.466585,33.511519,33.676222
24.6,34.557644,33.680674,33.75915
24.7,34.557644,33.680674,33.75915
24.8,34.557644,33.680674,33.75915
24.9,34.683335,33.823567,33.852143
25,34.683335,33.823567,33.852143
25.1,34.683335,33.823567,33.852143
25.2,34.814862,33.982367,33.958478
25.3,34.814862,33.982367,33.958478
25.4,34.814862,33.982367,33.958478
25.5,34.953392,34.145593,34.060587
25.6,34.953392,34.145593,34.060587
25.7,34.953392,34.145593,34.060587
25.8,35.070614,34.303642,34.158237
25.9,35.070614,34.303642,34.158237
26,35.070614,34.303642,34.158237
26.1,35.191098,34.485781,34.265713
26.2,35.191098,34.485781,34.265713
26.3,35.191098,34.485781,34.265713
26.4,35.278354,34.668122,34.362876
26.5,35.278354,34.668122,34.362876
26.6,35.278354,34.668122,34.362876
26.7,35.403025,34.844582,34.484844
26.8,35.403025,34.844582,34.484844
26.9,35.403025,34.844582,34.484844
27,35.544052,35.025458,34.602117
27.1,35.544052,35.025458,34.602117
27.2,35.544052,35.025458,34.602117
27.3,35.68015,35.194841,34.738335
27.4,35.68015,35.194841,34.738335
27.5,35.68015,35.194841,34.738335
27.6,35.822311,35.390862,34.838263
27.7,35.822311,35.390862,34.838263
27.8,35.822311,35.390862,34.838263
27.9,35.927983,35.600177,34.956434
28,35.927983,35.600177,34.956434
28.1,35.927983,35.600177,34.956434
28.2,36.12317,35.806178,35.101497
28.3,36.12317,35.806178,35.101497
28.4,36.12317,35.806178,35.101497
28.5,36.272751,36.011673,35.243265
28.6,36.272751,36.011673,35.243265
28.7,36.272751,36.011673,35.243265
28.8,36.423947,36.232086,35.355544
28.9,36.423947,36.232086,35.355544
29,36.423947,36.232086,35.355544
29.1,36.570449,36.466474,35.5064
29.2,36.570449,36.466474,35.5064
29.3,36.570449,36.466474,35.5064
29.4,36.779537,36.688431,35.649752
29.5,36.779537,36.688431,35.649752
29.6,36.779537,36.688431,35.649752
29.7,36.966864,36.888854,35.813426
29.8,36.966864,36.888854,35.813426
29.9,36.966864,36.888854,35.813426
30,37.152058,37.156729,35.988998
30.1,37.152058,37.156729,35.988998
30.2,37.152058,37.156729,35.988998
30.3,37.350529,37.404694,36.163372
30.4,37.350529,37.404694,36.163372
30.5,37.350529,37.404694,36.163372
30.6,37.559469,37.647235,36.331175
30.7,37.559469,37.647235,36.331175
30.8,37.559469,37.647235,36.331175
30.9,37.772336,37.917259,36.510402
31,37.772336,37.917259,36.510402
31.1,37.772336,37.917259,36.510402
31.2,38.013163,38.190017,36.686796
31.3,38.013163,38.190017,36.686796
31.4,38.013163,38.190017,36.686796
31.5,38.215912,38.458976,36.883949
31.6,38.215912,38.458976,36.883949
31.7,38.215912,38.458976,36.883949
31.8,38.398098,38.769377,37.089708
31.9,38.398098,38.769377,37.089708
32,38.398098,38.769377,37.089708
32.1,38.632494,39.05405,37.303366
32.2,38.632494,39.05405,37.303366
32.3,38.632494,39.05405,37.303366
32.4,38.874535,39.377105,37.473096
32.5,38.874535,39.377105,37.473096
32.6,38.874535,39.377105,37.473096
32.7,39.15009,39.699835,37.685747
32.8,39.15009,39.699835,37.685747
32.9,39.15009,39.699835,37.685747
33,39.40577,40.046231,37.914925
33.1,39.40577,40.046231,37.914925
33.2,39.40577,40.046231,37.914925
33.3,39.725696,40.395316,38.179285
33.4,39.725696,40.395316,38.179285
33.5,39.725696,40.395316,38.179285
33.6,40.071152,40.791083,38.430754
33.7,40.071152,40.791083,38.430754
33.8,40.071152,40.791083,38.430754
33.9,40.389961,41.179734,38.688462
34,40.389961,41.179734,38.688462
34.1,40.389961,41.179734,38.688462
34.2,40.704026,41.565465,38.95497
34.3,40.704026,41.565465,38.95497
34.4,40.704026,41.565465,38.95497
34.5,41.021031,42.021061,39.221882
34.6,41.021031,42.021061,39.221882
34.7,41.021031,42.021061,39.221882
34.8,41.384248,42.451844,39.495721
34.9,41.384248,42.451844,39.495721
35,41.384248,42.451844,39.495721
35.1,41.773633,42.959146,39.753886
35.2,41.773633,42.959146,39.753886
35.3,41.773633,42.959146,39.753886
35.4,42.170329,43.482958,40.109116
35.5,42.170329,43.482958,40.109116
35.6,42.170329,43.482958,40.109116
35.7,42.532961,44.011189,40.393221
35.8,42.532961,44.011189,40.393221
35.9,42.532961,44.011189,40.393221
36,43.000502,44.608342,40.721717
36.1,43.000502,44.608342,40.721717
36.2,43.000502,44.608342,40.721717
36.3,43.439064,45.213329,41.062687
36.4,43.439064,45.213329,41.062687
36.5,43.439064,45.213329,41.062687
36.6,43.900917,45.85141,41.419842
36.7,43.900917,45.85141,41.419842
36.8,43.900917,45.85141,41.419842
36.9,44.42897,46.528797,41.785959
37,44.42897,46.528797,41.785959
37.1,44.42897,46.528797,41.785959
37.2,44.96608,47.266043,42.184279
37.3,44.96608,47.266043,42.184279
37.4,44.96608,47.266043,42.184279
37.5,45.5127,47.975116,42.592692
37.6,45.5127,47.975116,42.592692
37.7,45.5127,47.975116,42.592692
37.8,46.095708,48.750675,42.998411
37.9,46.095708,48.750675,42.998411
38,46.095708,48.750675,42.998411
38.1,46.724555,49.580137,43.458572
38.2,46.724555,49.580137,43.458572
38.3,46.724555,49.580137,43.458572
38.4,47.358662,50.476821,43.914847
38.5,47.358662,50.476821,43.914847
38.6,47.358662,50.476821,43.914847
38.7,48.053108,51.415224,44.387895
38.8,48.053108,51.415224,44.387895
38.9,48.053108,51.415224,44.387895
39,48.793466,52.387443,44.943579
39.1,48.793466,52.387443,44.943579
39.2,48.793466,52.387443,44.943579
39.3,49.541992,53.434258,45.477457
39.4,49.541992,53.434258,45.477457
39.5,49.541992,53.434258,45.477457
39.6,50.407047,54.517528,46.079253
39.7,50.407047,54.517528,46.079253
39.8,50.407047,54.517528,46.079253
39.9,51.315937,55.731646,46.641854
40,51.315937,55.731646,46.641854
40.1,51.315937,55.731646,46.641854
40.2,52.262371,56.995616,47.287115
40.3,52.262371,56.995616,47.287115
40.4,52.262371,56.995616,47.287115
40.5,53.279284,58.324344,47.970024
40.6,53.279284,58.324344,47.970024
40.7,53.279284,58.324344,47.970024
40.8,54.367492,59.786498,48.691922
40.9,54.367492,59.786498,48.691922
41,54.367492,59.786498,48.691922
41.1,55.520443,61.372029,49.412525
41.2,55.520443,61.372029,49.412525
41.3,55.520443,61.372029,49.412525
41.4,56.755548,63.055559,50.178988
41.5,56.755548,63.055559,50.178988
41.6,56.755548,63.055559,50.178988
41.7,58.074768,64.822818,51.045059
41.8,58.074768,64.822818,51.045059
41.9,58.074768,64.822818,51.045059
42,59.496165,66.675658,51.92172
42.1,59.496165,66.675658,51.92172
42.2,59.496165,66.675658,51.92172
42.3,61.045813,68.688183,52.86572
42.4,61.045813,68.688183,52.86572
42.5,61.045813,68.688183,52.86572
42.6,62.632875,70.819858,53.867739
42.7,62.632875,70.819858,53.867739
42.8,62.632875,70.819858,53.867739
42.9,64.31959,73.06923,54.957883
43,64.31959,73.06923,54.957883
43.1,64.31959,73.06923,54.957883
43.2,66.171759,75.414767,56.078687
43.3,66.171759,75.414767,56.078687
43.4,66.171759,75.414767,56.078687
43.5,68.046015,77.970666,57.266032
43.6,68.046015,77.970666,57.266032
43.7,68.046015,77.970666,57.266032
43.8,69.980561,80.703252,58.526283
43.9,69.980561,80.703252,58.526283
44,69.980561,80.703252,58.526283
44.1,72.072466,83.56454,59.838216
44.2,72.072466,83.56454,59.838216
44.3,72.072466,83.56454,59.838216
44.4,74.276042,86.515539,61.22225
44.5,74.276042,86.515539,61.22225
44.6,74.276042,86.515539,61.22225
44.7,76.635293,89.719568,62.704972
44.8,76.635293,89.719568,62.704972
44.9,76.635293,89.719568,62.704972
45,79.12237,93.141393,64.216319
45.1,79.12237,93.141393,64.216319
45.2,79.12237,93.141393,64.216319
45.3,81.699659,96.751151,65.821722
45.4,81.699659,96.751151,65.821722
45.5,81.699659,96.751151,65.821722
